Date,Forecast_ARIMA
2024-01-01,278238.1762767428
2024-01-02,277991.57639415155
2024-01-03,277978.41892520955
2024-01-04,277977.71690140024
2024-01-05,277977.67944454355
2024-01-06,277977.6774460129
2024-01-07,277977.67733938026
2024-01-08,277977.6773336908
2024-01-09,277977.67733338726
2024-01-10,277977.6773333711
2024-01-11,277977.6773333702
2024-01-12,277977.67733337014
2024-01-13,277977.67733337014
2024-01-14,277977.67733337014
2024-01-15,277977.67733337014
2024-01-16,277977.67733337014
2024-01-17,277977.67733337014
2024-01-18,277977.67733337014
2024-01-19,277977.67733337014
2024-01-20,277977.67733337014
2024-01-21,277977.67733337014
2024-01-22,277977.67733337014
2024-01-23,277977.67733337014
2024-01-24,277977.67733337014
2024-01-25,277977.67733337014
2024-01-26,277977.67733337014
2024-01-27,277977.67733337014
2024-01-28,277977.67733337014
2024-01-29,277977.67733337014
2024-01-30,277977.67733337014
